card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hSD01-001,OSR,0,ときのそら,180,,180 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10001,,0,
hSD01-002,OSR,0,AZKi,220,5,220 円,5 円,https://yuyu-tei.jp/sell/hocg/card/hsd01/10002,https://yuyu-tei.jp/buy/hocg/card/hsd01/10002,0,
hSD01-003,C,0,ときのそら,30,,30 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10003,,0,
hSD01-004,P,1,ときのそら(パラレル/ベーシックPRパック vol.1),3980,2800,"3,980 円","2,800 円",https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10001,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10001,0,
hSD01-004,R,0,ときのそら,120,,120 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10004,,0,
hSD01-005,U,0,ときのそら,80,2,80 円,2 円,https://yuyu-tei.jp/sell/hocg/card/hsd01/10005,https://yuyu-tei.jp/buy/hocg/card/hsd01/10005,0,
hSD01-006,P,1,ときのそら(パラレル/スーパーPRパック vol.1),3480,2400,"3,480 円","2,400 円",https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10006,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10006,0,
hSD01-006,RR,0,ときのそら,120,,120 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10006,,0,
hSD01-007,C,0,IRyS,180,,180 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10007,,0,
hSD01-007,P,1,IRyS(パラレル/エントリーPRパック vol.2),320,50,320 円,50 円,https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10004,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10004,0,
hSD01-008,C,0,AZKi,30,,30 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10008,,0,
hSD01-009,P,1,AZKi(パラレル/ベーシックPRパック vol.1),6980,5000,"6,980 円","5,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10002,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10002,0,
hSD01-009,R,0,AZKi,180,,180 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10009,,0,
hSD01-010,U,0,AZKi,50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10010,,0,
hSD01-011,P,1,AZKi(パラレル/スーパーPRパック vol.1),12800,9000,"12,800 円","9,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10007,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10007,0,
hSD01-011,RR,0,AZKi,180,10,180 円,10 円,https://yuyu-tei.jp/sell/hocg/card/hsd01/10011,https://yuyu-tei.jp/buy/hocg/card/hsd01/10011,0,
hSD01-012,C,0,アイラニ・イオフィフティーン,180,10,180 円,10 円,https://yuyu-tei.jp/sell/hocg/card/hsd01/10012,https://yuyu-tei.jp/buy/hocg/card/hsd01/10012,0,
hSD01-012,P,1,アイラニ・イオフィフティーン(パラレル/エントリーPRパック vol.2),500,200,500 円,200 円,https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10005,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10005,0,
hSD01-013,P,1,SorAZ(パラレル/カードゲーム祭2025),1780,1000,"1,780 円","1,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10018,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10018,0,
hSD01-013,R,0,SorAZ,280,100,280 円,100 円,https://yuyu-tei.jp/sell/hocg/card/hsd01/10013,https://yuyu-tei.jp/buy/hocg/card/hsd01/10013,0,
hSD01-014,U,0,天音かなた,50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10014,,0,
hSD01-015,U,0,博衣こより,50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10015,,0,
hSD01-016,C,0,春先のどか,280,100,280 円,100 円,https://yuyu-tei.jp/sell/hocg/card/hsd01/10016,https://yuyu-tei.jp/buy/hocg/card/hsd01/10016,0,
hSD01-016,C,1,春先のどか(パラレル/SD08・SD09),320,100,320 円,100 円,https://yuyu-tei.jp/sell/hocg/card/hsd08/10009,https://yuyu-tei.jp/buy/hocg/card/hsd08/10009,0,
hSD01-016,P,1,春先のどか(パラレル/トリオチャレンジ2025 Spring),79800,64000,"79,800 円","64,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10019,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10019,0,
hSD01-017,C,0,マネちゃん(hBP04),120,10,120 円,10 円,https://yuyu-tei.jp/sell/hocg/card/hbp04/10218,https://yuyu-tei.jp/buy/hocg/card/hbp04/10218,0,
hSD01-017,P,1,マネちゃん(パラレル/ベーシックPRパック vol.3),1280,500,"1,280 円",500 円,https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10008,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10008,0,
hSD01-017,S,1,マネちゃん(パラレル/hBP04),1980,1400,"1,980 円","1,400 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10219,https://yuyu-tei.jp/buy/hocg/card/hbp04/10219,0,
hSD01-018,C,0,サブパソコン,120,10,120 円,10 円,https://yuyu-tei.jp/sell/hocg/card/hsd01/10018,https://yuyu-tei.jp/buy/hocg/card/hsd01/10018,0,
hSD01-018,P,1,サブパソコン(パラレル/ベーシックPRパック vol.3),780,350,780 円,350 円,https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10009,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10009,0,
hSD01-018,SR,1,サブパソコン(パラレル/姫森ルーナ),980,500,980 円,500 円,https://yuyu-tei.jp/sell/hocg/card/ohc01/10004,https://yuyu-tei.jp/buy/hocg/card/ohc01/10004,0,
hSD01-019,C,0,スゴイパソコン,50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10019,,0,
hSD01-019,SR,1,スゴイパソコン(パラレル/博衣こより),680,250,680 円,250 円,https://yuyu-tei.jp/sell/hocg/card/ohc01/10005,https://yuyu-tei.jp/buy/hocg/card/ohc01/10005,0,
hSD01-020,C,0,ホロリスの輪,80,,80 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10020,,0,
hSD01-021,C,0,First Gravity,80,,80 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10021,,0,
hY01-001,C,0,白エール,50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/yell01/10001,,0,
hY02-001,C,0,緑エール,80,2,80 円,2 円,https://yuyu-tei.jp/sell/hocg/card/yell01/10002,https://yuyu-tei.jp/buy/hocg/card/yell01/10002,0,
