expansion,card_code,rarity,print_hint,print_id,acquisition_type,source_name,acquired_qty,unit_cost,currency,acquired_at,note
,HBp06-098,U,5457,5457,,,1,,,,
,HBP06-079,U,5564,5564,,,2,,,,
,HBp06-009,C,5489,5489,,,1,,,,
,HBp04-085,U,5079,5079,,,4,,,,
,HBP04-074,P,6128,6128,,,1,,,,
,HBP05-007,OSR,5252,5252,,,1,,,,
,HSD01-001,OSR,5705,5705,,,1,,,,
,HBp04-002,OSR,5013,5013,,,1,,,,
,HBp01-008,OSR,4391,4391,,,1,,,,
,HSD10-001,OSR,5876,5876,,,1,,,,
,hsd01-002,OSR,5706,5706,,,1,,,,
,HSD11-001,OSR,5891,5891,,,1,,,,
,HY06-001,C,4865,4865,,,20,,,,
,HY04-001,C,4501,4501,,,20,,,,
,HY01-001,C,4497,4497,,,20,,,,
,hBP06-089,S,5578,5578,,,-1,,,,
,hbp03-092,U,4751,4751,,,1,,,,
,hbp03-027,C,4798,4798,,,1,,,,
,HBP03-029,R,4801,4801,,,1,,,,
,HBP03-028,U,4800,4800,,,1,,,,
,HBP03-025,C,4796,4796,,,1,,,,
,HBP03-067,C,4837,4837,,,1,,,,
,HBP03-060,R,4830,4830,,,1,,,,
,HBP03-105,U,4857,4857,,,1,,,,
,HBP03-101,C,4760,4760,,,1,,,,
,HBP03-096,U,4755,4755,,,1,,,,
,HY05-001,C,4631,4631,,,1,,,,
,HBP03-104,C,4763,4763,,,1,,,,
,HBP05-028,R,5273,5273,,,1,,,,
,HBP03-107,U,4766,4766,,,1,,,,
,HBP03-067,C,4837,4837,,,1,,,,
,HBP03-016,C,4788,4788,,,1,,,,
,HBP05-041,U,5288,5288,,,1,,,,
,HSD07-002,C,5323,5323,,,1,,,,
,HBP05-042,C,5289,5289,,,1,,,,
,HBP05-031,C,5276,5276,,,1,,,,
,HBP05-087,U,5234,5234,,,1,,,,
,HBp05-023,RR,5267,5267,,,1,,,,
,HBP05-075,C,5221,5221,,,3,,,,
,HBP03-056,RR,4827,4827,,,1,,,,
,HBP06-013,R,5492,5492,,,1,,,,
,HBP06-011,C,5480,5480,,,1,,,,
,HBP06-009,C,5489,5489,,,1,,,,
,HBP06-010,U,5490,5490,,,1,,,,
,HBP04-016,C,5474,5474,,,1,,,,
,HBP04-016,C,5025,5025,,,2,,,,
,HBP06-100,C,5459,5459,,,1,,,,
